Wall time,Step,Value
1671075913.6037436,536,97.5
1671075914.2041569,537,97.80000305175781
1671075914.8606565,538,99.30000305175781
1671075915.4819996,539,99.4000015258789
1671075916.078408,540,99.4000015258789
1671075916.7296693,541,99.5999984741211
1671075917.3689613,542,99.69999694824219
1671075918.008255,543,99.9000015258789
1671075918.675569,544,99.80000305175781
1671075919.3118708,545,99.5
1671075919.929424,546,98.80000305175781
1671075920.5846763,547,98.80000305175781
1671075921.2759771,548,99.30000305175781
1671075921.8953245,549,99.4000015258789
1671075922.5266387,550,99.4000015258789
1671075923.140999,551,99.69999694824219
1671075923.8231783,552,99.80000305175781
1671075924.4576154,553,99.5999984741211
1671075925.1249847,554,97.0
1671075925.733494,555,97.0
1671075926.4256482,556,96.4000015258789
1671075927.0589561,557,97.0
1671075927.7072256,558,98.5999984741211
1671075928.3505104,559,99.19999694824219
1671075928.9878073,560,99.19999694824219
1671075929.6093783,561,99.30000305175781
1671075930.267623,562,99.0999984741211
1671075930.8960874,563,99.30000305175781
1671075931.562309,564,98.9000015258789
1671075932.208679,565,99.30000305175781
1671075932.8379996,566,99.30000305175781
1671075933.4623353,567,99.0999984741211
1671075934.1135983,568,97.9000015258789
1671075934.7529998,569,95.5
1671075935.3795402,570,97.0
1671075936.0238204,571,98.30000305175781
1671075936.6722,572,98.0
1671075937.308502,573,98.69999694824219
1671075937.9328365,574,99.4000015258789
1671075938.576118,575,99.19999694824219
1671075939.246329,576,99.69999694824219
1671075939.8857288,577,99.9000015258789
1671075940.4761524,578,99.5
1671075941.126417,579,98.5999984741211
1671075941.804773,580,98.9000015258789
1671075942.40916,581,99.4000015258789
1671075943.0675087,582,98.69999694824219
1671075943.7297413,583,98.80000305175781
1671075944.330241,584,98.5999984741211
1671075944.9556649,585,99.30000305175781
1671075945.604933,586,99.4000015258789
1671075946.191485,587,99.5
1671075946.829779,588,99.4000015258789
1671075947.4771473,589,98.30000305175781
1671075948.0785418,590,98.80000305175781
1671075948.7029748,591,98.69999694824219
1671075949.4001138,592,98.69999694824219
1671075950.0255542,593,98.5999984741211
1671075950.6429057,594,98.4000015258789
1671075951.3471315,595,98.5999984741211
1671075951.9604955,596,98.19999694824219
1671075952.57699,597,98.30000305175781
1671075953.2661507,598,98.5
1671075953.9026752,599,98.9000015258789
1671075954.508059,600,98.9000015258789
1671075955.1714234,601,99.0999984741211
1671075955.7817943,602,99.30000305175781
1671075956.3811946,603,98.30000305175781
1671075957.0425282,604,98.5999984741211
1671075957.6957843,605,99.30000305175781
1671075958.3141341,606,99.19999694824219
1671075959.0098028,607,99.19999694824219
1671075959.6432042,608,99.19999694824219
1671075960.2455983,609,99.30000305175781
1671075960.9049768,610,99.4000015258789
1671075961.5303087,611,98.9000015258789
1671075962.1317942,612,98.80000305175781
1671075962.7990136,613,99.4000015258789
1671075963.443399,614,99.19999694824219
1671075964.0707252,615,98.0999984741211
1671075964.7100198,616,95.5999984741211
1671075965.375356,617,96.5999984741211
1671075966.013652,618,98.19999694824219
1671075966.6778817,619,97.5
1671075967.3002205,620,95.5
1671075967.932536,621,96.9000015258789
1671075968.572829,622,97.80000305175781
1671075969.2260861,623,97.69999694824219
1671075969.8354592,624,98.30000305175781
1671075970.478913,625,98.0999984741211
1671075971.0842972,626,98.5
1671075971.7177584,627,98.9000015258789
1671075972.352065,628,98.9000015258789
1671075972.9875028,629,99.4000015258789
1671075973.6487396,630,99.5999984741211
1671075974.2940154,631,99.5
1671075974.9255345,632,99.0
1671075975.5438821,633,99.4000015258789
1671075976.1873891,634,98.69999694824219
1671075976.8027449,635,98.0999984741211
1671075977.444134,636,98.19999694824219
1671075978.0993848,637,96.69999694824219
1671075978.6977894,638,95.69999694824219
1671075979.3360848,639,96.5999984741211
1671075980.0163634,640,96.30000305175781
1671075980.6227431,641,98.0
1671075981.2561588,642,98.80000305175781
1671075981.91839,643,97.80000305175781
1671075982.5118132,644,95.19999694824219
1671075983.1381395,645,95.9000015258789
1671075983.8133366,646,97.5999984741211
1671075984.4577384,647,97.5
1671075985.0850627,648,96.80000305175781
1671075985.742313,649,97.30000305175781
1671075986.3476975,650,98.0999984741211
1671075986.9731724,651,97.9000015258789
1671075987.6314156,652,97.69999694824219
1671075988.2478714,653,97.0999984741211
1671075988.8532557,654,97.69999694824219
1671075989.539426,655,97.30000305175781
1671075990.1599035,656,96.30000305175781
1671075990.7613006,657,95.5999984741211
1671075991.4524558,658,95.80000305175781
1671075992.0928478,659,96.30000305175781
1671075992.7082052,660,96.30000305175781
1671075993.3844004,661,96.9000015258789
1671075994.0346644,662,97.19999694824219
1671075994.6390512,663,97.4000015258789
1671075995.3552532,664,97.0
1671075995.9686143,665,96.0999984741211
1671075996.5661185,666,96.80000305175781
1671075997.237325,667,96.9000015258789
1671075997.8407145,668,96.0999984741211
1671075998.4530797,669,95.0
1671075999.1553402,670,95.5999984741211
1671075999.8037126,671,95.69999694824219
1671076000.4072132,672,94.80000305175781
1671076001.0455081,673,95.0
1671076001.6578734,674,95.19999694824219
1671076002.2632575,675,96.0999984741211
1671076002.9065404,676,96.0
1671076003.5299008,677,95.5
1671076004.1362839,678,95.19999694824219
1671076004.8117397,679,94.5
1671076005.4530282,680,94.5999984741211
1671076006.1102784,681,95.5
1671076006.7615383,682,95.69999694824219
1671076007.3959465,683,94.80000305175781
1671076007.9913578,684,93.4000015258789
1671076008.6736379,685,93.69999694824219
1671076009.2959757,686,94.5999984741211
1671076009.906457,687,95.0999984741211
1671076010.550737,688,95.80000305175781
1671076011.185049,689,96.69999694824219
1671076011.8183577,690,96.80000305175781
1671076012.4656315,691,96.69999694824219
1671076013.1220038,692,97.19999694824219
1671076013.7453399,693,97.0
1671076014.43161,694,97.0999984741211
1671076015.0370965,695,96.5
1671076015.6785235,696,96.5
1671076016.3377657,697,95.9000015258789
1671076016.955214,698,95.9000015258789
1671076017.622434,699,96.4000015258789
1671076018.2698112,700,97.4000015258789
1671076018.8771899,701,97.30000305175781
1671076019.50651,702,95.69999694824219
1671076020.1707401,703,95.0999984741211
1671076020.8000634,704,96.19999694824219
1671076021.4313781,705,97.0
1671076022.1534512,706,96.5999984741211
1671076022.752851,707,95.69999694824219
1671076023.3821726,708,94.80000305175781
1671076024.0614681,709,95.0
1671076024.6708398,710,96.30000305175781
1671076025.2833817,711,96.4000015258789
1671076025.9605732,712,96.30000305175781
1671076026.5590875,713,96.0
1671076027.2302978,714,96.0999984741211
1671076027.9744053,715,96.5
1671076028.5787904,716,96.30000305175781
1671076029.214194,717,96.30000305175781
1671076029.8814135,718,96.5999984741211
1671076030.4848049,719,96.69999694824219
1671076031.110272,720,96.19999694824219
1671076031.7725043,721,95.0999984741211
1671076032.378886,722,95.5999984741211
1671076032.989387,723,95.9000015258789
1671076033.6436405,724,95.9000015258789
1671076034.2580004,725,95.30000305175781
1671076034.8723614,726,95.4000015258789
1671076035.5466921,727,95.69999694824219
1671076036.161054,728,95.4000015258789
1671076036.7624476,729,95.4000015258789
1671076037.3997467,730,95.4000015258789
1671076038.023082,731,95.4000015258789
1671076038.6286218,732,95.69999694824219
1671076039.29983,733,96.30000305175781
1671076039.949097,734,95.80000305175781
1671076040.5566163,735,94.4000015258789
1671076041.2098744,736,94.69999694824219
1671076041.896041,737,95.0999984741211
1671076042.5234706,738,95.30000305175781
1671076043.1667538,739,95.0
1671076043.7950745,740,95.19999694824219
1671076044.4265199,741,95.4000015258789
1671076045.0837636,742,95.9000015258789
1671076045.7431061,743,95.5999984741211
1671076046.3494873,744,96.0
1671076047.0196986,745,96.4000015258789
1671076047.6445591,746,96.69999694824219
1671076048.268015,747,97.0999984741211
1671076048.920274,748,97.0
1671076049.561562,749,96.0
1671076050.1689408,750,96.19999694824219
1671076050.8133237,751,97.0
1671076051.4416475,752,96.5999984741211
1671076052.0719633,753,96.9000015258789
1671076052.696297,754,96.5
1671076053.3415747,755,95.9000015258789
1671076053.968902,756,95.80000305175781
1671076054.629138,757,96.4000015258789
1671076055.2446182,758,96.5
1671076055.9189742,759,96.5999984741211
1671076056.6031036,760,96.0
1671076057.226439,761,95.5
1671076057.8339264,762,95.5
1671076058.4692307,763,96.0999984741211
1671076059.116621,764,96.0999984741211
1671076059.739063,765,95.0999984741211
1671076060.389327,766,95.0
1671076061.0096745,767,95.5999984741211
1671076061.691033,768,96.5
1671076062.3353128,769,96.5999984741211
1671076062.950787,770,97.19999694824219
1671076063.6239884,771,96.9000015258789
1671076064.2862206,772,95.5
1671076064.8816314,773,92.9000015258789
1671076065.4969952,774,95.69999694824219
1671076066.1932485,775,96.5999984741211
1671076066.7907743,776,95.30000305175781
1671076067.4152331,777,95.80000305175781
1671076068.0625055,778,96.5
